"venue","toss_decision","count"
"Arun Jaitley Stadium, Delhi","bat",2
"Arun Jaitley Stadium, Delhi","field",5
"Barsapara Cricket Stadium, Guwahati","field",3
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","field",7
"Eden Gardens, Kolkata","bat",2
"Eden Gardens, Kolkata","field",5
"Himachal Pradesh Cricket Association Stadium, Dharamsala","field",4
"M Chinnaswamy Stadium, Bengaluru","field",5
"MA Chidambaram Stadium, Chepauk, Chennai","bat",2
"MA Chidambaram Stadium, Chepauk, Chennai","field",5
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","field",5
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh","bat",1
"Narendra Modi Stadium, Ahmedabad","bat",2
"Narendra Modi Stadium, Ahmedabad","field",6
"Rajiv Gandhi International Stadium, Uppal, Hyderabad","field",5
"Rajiv Gandhi International Stadium, Uppal, Hyderabad","bat",2
"Sawai Mansingh Stadium, Jaipur","bat",1
"Sawai Mansingh Stadium, Jaipur","field",3
"Shaheed Veer Narayan Singh International Stadium, Raipur","field",2
"Wankhede Stadium, Mumbai","field",6
"Wankhede Stadium, Mumbai","bat",1
