"venue","winning_toss_and_winning_matches"
"Shaheed Veer Narayan Singh International Stadium, Raipur",2
"Narendra Modi Stadium, Ahmedabad",4
"Barsapara Cricket Stadium, Guwahati",2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4
"Arun Jaitley Stadium, Delhi",4
"MA Chidambaram Stadium, Chepauk, Chennai",3
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",3
"Eden Gardens, Kolkata",2
"M Chinnaswamy Stadium, Bengaluru",4
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2
"Sawai Mansingh Stadium, Jaipur",2
"Wankhede Stadium, Mumbai",3
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2
