"match_id","batter","batting_team","bowling_team","venue","runs","balls_faced","fours","sixes","strike_rate","is_century","is_fifty","dismissed_player","dismissal_kind"
1527676,"V Suryavanshi","Rajasthan Royals","Chennai Super Kings","Barsapara Cricket Stadium, Guwahati",52,17,4,5,305.88,0,1,"V Suryavanshi","caught"
1527682,"V Suryavanshi","Rajasthan Royals","Gujarat Titans","Narendra Modi Stadium, Ahmedabad",31,20,5,1,155.0,0,0,"V Suryavanshi","caught"
1527686,"V Suryavanshi","Rajasthan Royals","Mumbai Indians","Barsapara Cricket Stadium, Guwahati",39,15,1,5,260.0,0,0,"V Suryavanshi","caught"
1527689,"V Suryavanshi","Rajasthan Royals","Royal Challengers Bengaluru","Barsapara Cricket Stadium, Guwahati",78,26,8,7,300.0,0,1,"V Suryavanshi","caught"
1529264,"V Suryavanshi","Rajasthan Royals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,1,0,0,0.0,0,0,"V Suryavanshi","caught"
1529271,"V Suryavanshi","Rajasthan Royals","Kolkata Knight Riders","Eden Gardens, Kolkata",46,30,6,2,153.33,0,0,"V Suryavanshi","caught"
1529275,"V Suryavanshi","Rajasthan Royals","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,11,2,0,72.73,0,0,"V Suryavanshi","caught"
1529279,"V Suryavanshi","Rajasthan Royals","Sunrisers Hyderabad","Sawai Mansingh Stadium, Jaipur",103,37,5,12,278.38,1,0,"V Suryavanshi","lbw"
1529283,"V Suryavanshi","Rajasthan Royals","Punjab Kings","Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",43,17,3,5,252.94,0,0,"V Suryavanshi","caught"
1529286,"V Suryavanshi","Rajasthan Royals","Delhi Capitals","Sawai Mansingh Stadium, Jaipur",4,2,1,0,200.0,0,0,"V Suryavanshi","bowled"
1529295,"V Suryavanshi","Rajasthan Royals","Gujarat Titans","Sawai Mansingh Stadium, Jaipur",36,17,3,3,211.76,0,0,"V Suryavanshi","caught"
1529305,"V Suryavanshi","Rajasthan Royals","Delhi Capitals","Arun Jaitley Stadium, Delhi",46,23,5,3,200.0,0,0,"V Suryavanshi","caught"
1529307,"V Suryavanshi","Rajasthan Royals","Lucknow Super Giants","Sawai Mansingh Stadium, Jaipur",93,41,7,10,226.83,0,1,"V Suryavanshi","caught"
1529312,"V Suryavanshi","Rajasthan Royals","Mumbai Indians","Wankhede Stadium, Mumbai",4,8,0,0,50.0,0,0,"V Suryavanshi","caught"
1535463,"V Suryavanshi","Rajasthan Royals","Sunrisers Hyderabad","Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",97,31,5,12,312.9,0,1,"V Suryavanshi","caught"
1535464,"V Suryavanshi","Rajasthan Royals","Gujarat Titans","Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",96,48,8,7,200.0,0,1,"V Suryavanshi","caught"
